PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,13182,1318202,33182,MBL,"Manistee/Ludington, MI",MI,26,Michigan,43,13182,1318202,33182,MBL,"Manistee/Ludington, MI",MI,26,Michigan,43,2025,1,1,1,L
0.00,0.00,0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,D,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,13898,1389806,32467,OPF,"Miami, FL",FL,12,Florida,33,2025,1,1,1,L
0.00,0.00,0.00,0.00,PO,20100,Polar Air Cargo Airways,06758,D,PO,Polar Air Cargo Airways,3,3,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,2025,1,1,1,P
0.00,0.00,0.00,0.00,X9,20377,Omni Air International LLC,06738,D,X9,Omni Air International LLC,2,2,10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2025,1,1,1,L
0.00,0.00,0.00,0.00,X9,20377,Omni Air International LLC,06738,D,X9,Omni Air International LLC,2,2,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,2025,1,1,1,L
0.00,0.00,0.00,0.00,XP,20207,TEM Enterprises dba  Avelo Airlines,06144,D,XP,TEM Enterprises dba  Avelo Airlines,2,2,10529,1052907,30529,BDL,"Hartford, CT",CT,09,Connecticut,11,10529,1052907,30529,BDL,"Hartford, CT",CT,09,Connecticut,11,2025,1,1,1,L
0.00,0.00,0.00,3.00,N8,20405,National Air Cargo Group Inc d/ba National Airlines,07029,D,N8,National Air Cargo Group Inc d/ba National Airlines,2,2,10615,1061502,30615,BIF,"El Paso, TX",TX,48,Texas,74,11540,1154005,30615,ELP,"El Paso, TX",TX,48,Texas,74,2025,1,1,1,L
0.00,0.00,0.00,8.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,11762,1176202,31646,FRD,"Friday Harbor, WA",WA,53,Washington,93,14477,1447701,34477,RCE,"Roche Harbor, WA",WA,53,Washington,93,2025,1,1,1,L
0.00,0.00,0.00,9.00,27Q,21652,"Jet Aviation Flight Services, Inc.",01194,D,27Q,"Jet Aviation Flight Services, Inc.",2,2,15167,1516702,35167,TEB,"Teterboro, NJ",NJ,34,New Jersey,21,15346,1534602,31703,TSS,"New York, NY",NY,36,New York,22,2025,1,1,1,L
0.00,0.00,0.00,9.00,KAH,20272,Kenmore Air Harbor,06927,D,KAH,Kenmore Air Harbor,1,6,12652,1265201,30559,KEH,"Kenmore, WA",WA,53,Washington,93,13002,1300201,30559,LKE,"Seattle, WA",WA,53,Washington,93,2025,1,1,1,L
